book_id,title,author,narrator,genre,duration,description,tags,rating,average_rating,total_ratings,duration_hours,release_date
1,Golden City,John Wilson,Mia Johnson,Mystery,224,'Golden City' is a masterful mystery work that demonstrates John Wilson's exceptional storytelling abilities.,"atmospheric, contemporary",3.4,4.2,1200,12.5,2023-01-01
2,Endless Story Story,William Jones,John Hernandez,Historical Fiction,721,"In this classic historical fiction masterpiece, William Jones creates a fascinating narrative that will keep you hooked until the last page.","action-packed, classic",3.5,4.5,800,8.3,2023-02-15
3,Eternal Dream Dream,Ava Brown,William Anderson,Historical Fiction,689,'Eternal Dream Dream' is a masterful historical fiction work that showcases Ava Brown's exceptional storytelling abilities.,"thought-provoking, atmospheric, character-driven, bestseller",3.6,4.8,950,10.0,2023-03-20
4,Quiet Light,Sofia Williams,Olivia Jones,Romance,236,'Quiet Light' is a brilliant romance work that showcases Sofia Williams's exceptional storytelling abilities.,"educational, thought-provoking",3.2,4.3,1500,15.2,2023-04-10
5,Endless Sky,Olivia Rodriguez,Joseph Martin,Romance,379,'Endless Sky' is a brilliant romance work that demonstrates Olivia Rodriguez's exceptional storytelling abilities.,"suspenseful, action-packed, emotional",4.7,4.2,1200,12.5,2023-01-01
6,Ancient World,Ava Anderson,Samuel Miller,Science Fiction,1037,"A captivating science fiction novel by Ava Anderson, 'Ancient World' investigates the fascinating world of personal growth.","romantic, emotional, award-winning",3.2,4.8,1200,12.5,2023-01-01
7,Forgotten Mountain Dream,Mia Jackson,Amelia Hernandez,Romance,522,"A captivating romance novel by Mia Jackson, 'Forgotten Mountain Dream' investigates the intriguing world of human relationships.","character-driven, page-turner, bestseller, inspiring",4.9,4.5,800,8.3,2023-02-15
8,Ancient Journey,Sophia Rodriguez,David Williams,Biography,1059,'Ancient Journey' is a stunning biography work that demonstrates Sophia Rodriguez's exceptional storytelling abilities.,"suspenseful, atmospheric, bestseller",4.8,4.3,1500,15.2,2023-04-10
9,Sacred River Soul,Samuel Wilson,Elizabeth Thomas,Fantasy,974,"In this philosophical fantasy masterpiece, Samuel Wilson creates a compelling narrative that will keep you hooked until the last page.","philosophical, classic",3.5,4.0,600,6.5,2023-05-05
10,Wild Shadow Heart,Elizabeth Hernandez,Olivia Johnson,Biography,985,"In this page-turner biography masterpiece, Elizabeth Hernandez crafts a spellbinding narrative that will keep you hooked until the last page.","romantic, page-turner, award-winning, inspiring, atmospheric",3.7,4.2,1200,12.5,2023-01-01
11,Secret Star Moon,James Gonzalez,Ava Taylor,Thriller,1052,'Secret Star Moon' is a stunning thriller work that showcases James Gonzalez's exceptional storytelling abilities.,"award-winning, emotional, suspenseful, thought-provoking",3.5,4.5,800,8.3,2023-02-15
12,Modern Path Storm,David Martin,Ava Lopez,Biography,557,"A captivating biography novel by David Martin, 'Modern Path Storm' investigates the complex world of adventure.","emotional, classic, bestseller, award-winning, inspiring",4.9,4.8,950,10.0,2023-03-20
13,Wild Storm,Sophia Jones,Michael Williams,Romance,1008,'Wild Storm' is a masterful romance work that demonstrates Sophia Jones's exceptional storytelling abilities.,"action-packed, dark",4.8,4.3,1500,15.2,2023-04-10
14,Falling Shadow,James Johnson,Alexander Rodriguez,Fantasy,586,"A captivating fantasy novel by James Johnson, 'Falling Shadow' delves into the fascinating world of human relationships.","classic, contemporary, action-packed, philosophical, page-turner",3.5,4.0,600,6.5,2023-05-05
15,Sacred Heart Dance,Michael Smith,Olivia Brown,Mystery,473,'Sacred Heart Dance' is a masterful mystery work that demonstrates Michael Smith's exceptional storytelling abilities.,"character-driven, uplifting, thought-provoking",3.9,4.2,1200,12.5,2023-01-01
16,Quiet Heart Memory,Charlotte Jones,Ava Anderson,Historical Fiction,961,"In this action-packed historical fiction masterpiece, Charlotte Jones weaves a compelling narrative that will keep you hooked until the last page.","action-packed, educational",4.9,4.5,800,8.3,2023-02-15
17,Falling Time,Isabella Jackson,Sophia Garcia,Science Fiction,330,"A captivating science fiction novel by Isabella Jackson, 'Falling Time' explores the intriguing world of human relationships.","bestseller, complex-plot, action-packed",4.8,4.3,1500,15.2,2023-04-10
18,Wild Moon,James Brown,Ava Hernandez,Literary Fiction,321,'Wild Moon' is a masterful literary fiction work that highlights James Brown's exceptional storytelling abilities.,"atmospheric, contemporary, complex-plot, character-driven",3.5,4.0,600,6.5,2023-05-05
19,Gentle Dream,Michael Hernandez,Isabella Miller,Business,1142,'Gentle Dream' is a stunning business work that demonstrates Michael Hernandez's exceptional storytelling abilities.,"uplifting, philosophical, complex-plot",5.0,4.8,950,10.0,2023-03-20
20,Broken Mountain,Elizabeth Taylor,Charlotte Moore,Romance,1042,'Broken Mountain' is a brilliant romance work that demonstrates Elizabeth Taylor's exceptional storytelling abilities.,"inspiring, thought-provoking, philosophical, complex-plot, dark",3.4,4.0,600,6.5,2023-05-05
21,Loud Forest Moon,Joseph Gonzalez,Joseph Garcia,Business,446,"A captivating business novel by Joseph Gonzalez, 'Loud Forest Moon' investigates the complex world of adventure.","contemporary, award-winning, thought-provoking, atmospheric, inspiring",4.8,4.3,1500,15.2,2023-04-10
22,Lost Dream,Samuel Brown,Isabella Jackson,Literary Fiction,368,"A captivating literary fiction novel by Samuel Brown, 'Lost Dream' delves into the complex world of human relationships.","educational, inspiring, award-winning",4.4,4.2,1200,12.5,2023-01-01
23,Bright Mind Star,Ava Jackson,Olivia Garcia,Self-Help,451,'Bright Mind Star' is a stunning self-help work that demonstrates Ava Jackson's exceptional storytelling abilities.,"award-winning, character-driven",3.6,4.0,600,6.5,2023-05-05
24,Hidden Light,David Smith,Emma Taylor,Science Fiction,408,'Hidden Light' is a stunning science fiction work that showcases David Smith's exceptional storytelling abilities.,"emotional, suspenseful, philosophical, action-packed",3.9,4.2,1200,12.5,2023-01-01
25,Wild Spirit,Mia Williams,Benjamin Martin,Literary Fiction,580,"In this dark literary fiction masterpiece, Mia Williams weaves a compelling narrative that will keep you hooked until the last page.","character-driven, contemporary, emotional, dark",3.4,4.0,600,6.5,2023-05-05
26,Healing Moon Star,Sofia Lopez,Mia Smith,Mystery,635,"A captivating mystery novel by Sofia Lopez, 'Healing Moon Star' investigates the intriguing world of adventure.","contemporary, thought-provoking, page-turner, complex-plot, emotional",3.3,4.2,1200,12.5,2023-01-01
27,Modern Star City,Elizabeth Jones,Joseph Moore,Biography,1017,"A captivating biography novel by Elizabeth Jones, 'Modern Star City' explores the complex world of personal growth.","classic, uplifting",3.3,4.0,600,6.5,2023-05-05
28,Endless Song,Charlotte Jones,Sofia Taylor,Mystery,392,"A captivating mystery novel by Charlotte Jones, 'Endless Song' investigates the fascinating world of personal growth.","romantic, uplifting, contemporary, award-winning",4.9,4.8,950,10.0,2023-03-20
29,Sacred Forest Moon,John Wilson,Mia Jones,Literary Fiction,639,"A captivating literary fiction novel by John Wilson, 'Sacred Forest Moon' investigates the intriguing world of adventure.","complex-plot, inspiring, contemporary, educational, emotional",3.5,4.0,600,6.5,2023-05-05
30,Eternal Light Mind,Sophia Thomas,Emma Martinez,Literary Fiction,301,"In this award-winning literary fiction masterpiece, Sophia Thomas creates a fascinating narrative that will keep you hooked until the last page.","dark, award-winning, complex-plot, philosophical, emotional",3.0,4.0,600,6.5,2023-05-05
31,Wild Dream,Joseph Moore,Charlotte Rodriguez,Mystery,547,"A captivating mystery novel by Joseph Moore, 'Wild Dream' investigates the intriguing world of adventure.","classic, bestseller, suspenseful, uplifting, philosophical",4.1,4.2,1200,12.5,2023-01-01
32,Sacred Shadow Story,Samuel Taylor,David Brown,Science Fiction,951,'Sacred Shadow Story' is a brilliant science fiction work that demonstrates Samuel Taylor's exceptional storytelling abilities.,"suspenseful, inspiring, complex-plot, bestseller",4.8,4.5,800,8.3,2023-02-15
33,Falling Storm Mountain,Joseph Gonzalez,Olivia Wilson,Biography,981,"In this award-winning biography masterpiece, Joseph Gonzalez weaves a fascinating narrative that will keep you hooked until the last page.","suspenseful, classic, uplifting, page-turner, award-winning",3.3,4.0,600,6.5,2023-05-05
34,Ancient Dream,Sofia Anderson,Samuel Jackson,Historical Fiction,660,"In this educational historical fiction masterpiece, Sofia Anderson weaves a spellbinding narrative that will keep you hooked until the last page.","award-winning, educational",4.9,4.8,950,10.0,2023-03-20
